city_id_code,xchar
U_FA49,樫
U_FCCD,堺
U_FAB6,烟
U_8EBC,鎮
U_8E47,綫
U_FAFC,蔵
U_FB58,墻
U_FA5B,叁
U_FAC1,鐵
U_FAD8,窓
T_90BE,𥑮
T_9A61,艶
T_FDE6,担
T_FBF2,朥
T_FDE5,响
T_FA6B,場
T_96A4,[石函]
T_8EBA,衛
T_96BF,衛
T_FDB8,焜
T_FACA,𤆬
T_8F7B,柒
T_94A5,祭
T_8EB1,強
T_957A,犂
T_FBF5,犁
T_8FED,汚
T_FA5E,鄉
T_FDF4,煱
T_8F70,欉
T_9252,万
T_FC62,猪
T_FBA2,雞
T_FB71,庴
T_FBEB,弍
T_8FB3,温
T_9574,䦉
T_FAE9,参
T_90B4,硓
T_FAE7,叁
T_936A,厨
T_93B5,鎮
T_FDFC,厨
T_FD41,炉
T_FAF6,瑶
T_FAAC,鉄
Q_FEFE,潁
Q_93F2,煱
Q_FEAD,経
Q_FA55,猪
Q_8E45,衞
Q_FE41,鷄
Q_9461,啟
Q_FAA9,温
Q_97BF,祐
Q_97B2,育
Q_8E7C,叁
Q_FD71,貳
Q_FA62,参
Q_FABF,鉄
P_93A2,碱
P_FADD,塩
P_FDE7,蔴
P_FB4A,脚
P_FCB5,鷄
P_985E,眞
P_FEE0,兎
P_FD53,叁
P_FAD2,鉄
P_FAE0,温
P_99EA,鎮
O_83C7,鹽
O_8275,鉄
O_83BD,棃
O_8470,温
O_8174,灯
O_8459,啟
O_8461,卿
O_8265,舘
O_83D4,脚
O_824D,棊
O_846E,玲
N_995B,猪
N_96C8,皓
N_9E54,埤
N_9ADC,數
N_9FFE,鑄
N_95DF,閅
N_9AAC,塩
N_90AA,柒
N_8ED5,氷
N_9157,霖
N_95F9,苝
N_9744,琂
N_97D4,貳
N_947A,滙
N_84C5,
N_9C6D,鳳
N_9AC0,饍
N_FB49,煱
N_8F7E,雞
N_9F56,勳
N_9956,犂
N_8FC3,卻
N_9B4A,滙
N_9A5D,鈎
N_9AA2,叠
N_9BBC,綉
N_9253,亲
N_8F73,灯
N_FA55,厨
N_93C7,黃
N_94F0,哖
N_FBCB,顕
N_95F8,𦓻
N_91CE,炉
N_FDB5,󻕘
N_9165,庙
N_9441,凉
N_9C54,鉄
N_90E8,參
M_8EB0,𧵤
M_8E7B,楼
M_FDFC,囒
M_FA74,頴
M_FAE7,輄
M_FCF1,衞
M_FA6E,綉
M_FA6C,献
M_93EF,玲
M_FD59,炉
M_FED4,块
M_9050,揁
M_924B,為
M_FCE5,温
M_9451,鍢
M_934F,祖
M_FEB2,鷄
M_FD64,厠
M_FDBC,𠩤
M_FEE4,𩗡
M_FA77,鎮
M_8F62,祈
M_FA5B,凉
M_FB57,鉄
M_FA4D,叁
K_FB73,菓
K_8F50,真
K_FCD4,犂
K_FBC2,湳
K_8E64,鎮
K_FA6E,㕑
K_FBE6,煱
K_FD5F,鉄
K_8E62,叁
K_FAD3,参
K_FC62,猫
