region_id,region_name,area_id,office_code,memo,is_valid,,gov_error,
A_13_0685,橫科段橫科小段,A_13,AD,更正,1,,𣿬科段𣿬科小段,0
A_15_0841,中洲段,A_15,AE,,1,,中州段,0
B_11_3602,山腳段頂山腳小段,B_11,BE,更正,1,,山脚段頂山脚小段,0
B_15_3045,眉山西段,B_15,BD,,1,,眉山東段,0
B_15_3046,眉山東段,B_15,BD,,1,,眉山西段,0
B_17_6704,瓦磘子段,B_17,BH,,1,,瓦𠐟子段,0
B_19_5718,糖廍段,B_19,BG,,1,,糖𠖎段,0
B_21_4001,鐵砧山腳段,B_21,BE,更正,1,,鐵砧山脚段,0
B_22_4308,龜壳段,B_22,BE,更正,1,,龜匳段,0
B_22_4317,松子腳段,B_22,BE,更正,1,,松子脚段,0
B_23_7304,朥[月胥]段頂朥[月胥]小段,B_23,BI,,1,,偽𠍇段頂偽𠍇小段,0
B_23_7305,朥[月胥]段下朥[月胥]小段,B_23,BI,,1,,偽𠍇段下偽𠍇小段,0
B_24_9103,井子頭段蔗廍小段,B_24,BK,,1,,井子頭段蔗𠖎小段,0
D_09_2003,茄苳腳段,D_09,DD,,1,,茄苳脚段,0
D_09_2013,舊廍段,D_09,DD,,1,,舊𠖎段,0
D_10_2024,坔頭港段,D_10,DD,,1,,坌頭港段,0
D_18_4345,南廍段,D_18,DF,,1,,南𠖎段,0
D_22_5221,槺榔段,D_22,DG,,1,,𤥂榔段,0
D_25_5505,草坔段,D_25,DG,,1,,草𢔓段,0
D_26_6711,𦰡拔林段,D_26,DH,,1,,拔林段,0
D_37_8013,𦬬萊宅段,D_37,DJ,更正,1,,凢萊宅段,0
E_03_0216,廍後段,E_03,EE,,1,,𠖎後段,0
E_11_1233,廈莊段,E_11,EC,,1,,厦莊段,0
E_12_1407,道爺廍段,E_12,EG,,1,,道爺𠖎段,0
E_12_1408,道爺廍段下菜園小段,E_12,EG,,1,,道爺𠖎段下菜園小段,0
E_13_1630,柚子腳段,E_13,EL,,1,,柚仔腳段,0
E_18_2204,崎子腳段,E_18,EI,,1,,崎子脚段,0
E_18_2205,崎子腳段一小段,E_18,EI,,1,,崎子脚段一小段,0
E_18_2206,大腳腿段,E_18,EI,,1,,大脚腿段,0
E_18_2207,大腳腿段一小段,E_18,EI,,1,,大脚腿段一小段,0
E_22_2609,狗氳氤段,E_22,EJ,,1,,狗氳段,0
E_30_3428,半廍段,E_30,EH,,1,,半𠖎段,0
E_32_3602,土壠灣段,E_32,EK,,1,,土儎灣段,0
E_34_3804,十張犂段,E_34,EH,,1,,十張菍段,0
E_34_3805,十張犂段一小段,E_34,EH,,1,,十張菍段一小段,0
E_34_3806,十張犂段二小段,E_34,EH,,1,,十張菍段二小段,0
E_35_3908,腳帛寮段,E_35,EH,,1,,脚帛寮段,0
E_35_3909,腳帛寮段一小段,E_35,EH,,1,,脚帛寮段一小段,0
F_03_0353,五股坑段壟坑小段,F_03,FB,,1,,五股坑段壟砼坑小段,0
F_06_0398,大窠坑段犂頭窠小段,F_06,FB,,1,,大窠坑段菍頭窠小段,0
F_07_0571,青潭段磜子頭小段,F_07,FC,,1,,青潭段𢔰子頭小段,0
F_08_0629,小格頭段柑腳坂小段,F_08,FC,,1,,小格頭段柑腳鍄小段,0
F_09_0678,烏月段旺躭小段,F_09,FC,,1,,烏月段旺㳜小段,0
F_09_0687,阿柔坑段梘腳坑小段,F_09,FC,,1,,阿柔坑段苮腳坑小段,0
F_10_0703,九芎林段石𥕢小段,F_10,FC,,1,,九芎林段石侫小段,0
F_10_0705,九芎林段刣牛寮小段,F_10,FC,,1,,九芎林段杄牛寮小段,0
F_10_0708,𩻸魚堀段𩻸魚堀小段,F_10,FC,,1,,㝃魚堀段㝃魚堀小段,0
F_10_0709,𩻸魚堀段仁里坂小段,F_10,FC,,1,,㝃魚堀段仁里鍄小段,0
F_15_0042,十三添段犂舌尾小段,F_15,FI,,1,,十三添段菍舌尾小段,0
F_17_0121,獇子寮段,F_17,FI,,1,,猐子寮段,0
F_18_1804,漳和段瓦磘小段,F_18,FH,,1,,漳和段瓦𠐟小段,0
F_18_1806,中坑段灰磘小段,F_18,FH,,1,,中坑段灰𠐟小段,0
F_21_1417,焿子寮段,F_21,FF,,1,,𨧤子寮段,0
F_21_1431,𫙮魚坑段尪子上天小段,F_21,FF,,1,,𣳈魚坑段尪子上天小段,0
F_21_1432,𫙮魚坑段八分寮小段,F_21,FF,,1,,𣳈魚坑段八分寮小段,0
F_21_1433,𫙮魚坑段坑子內小段,F_21,FF,,1,,𣳈魚坑段坑子內小段,0
F_21_1434,𫙮魚坑段大寮小段,F_21,FF,,1,,𣳈魚坑段大寮小段,0
